description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
item -> added mod 2	1	1		100	16	361	340		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		8	14																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		35	40																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		35	40																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		35	40																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		35	40																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		73	73	corruptnum	100		1001	1001	block	100		5	10	block1	100		10	20																																																																0
item -> added mod 4	1	1		100	16	361	730		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1	1		100	16	361	760		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		22	30																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1	1		100	16	361	963		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1	1		100	16	361	982		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	shld,sock,mag	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	295		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	340		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		8	14																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		35	40																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		35	40																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		35	40																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		35	40																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		73	73	corruptnum	100		1001	1001	block	100		5	10	block1	100		10	20																																																																0
item -> added mod 4	1	1		100	16	361	730		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1	1		100	16	361	760		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		22	30																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1	1		100	16	361	963		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1	1		100	16	361	982		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	shld,sock,rar	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	295		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	340		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		8	14																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		35	40																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		35	40																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		35	40																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		35	40																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		73	73	corruptnum	100		1001	1001	block	100		5	10	block1	100		10	20																																																																0
item -> added mod 4	1	1		100	16	361	730		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1	1		100	16	361	760		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		22	30																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1	1		100	16	361	963		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1	1		100	16	361	982		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	shld,sock,set	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	295		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	340		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		8	14																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		35	40																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		35	40																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		35	40																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		35	40																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		73	73	corruptnum	100		1001	1001	block	100		5	10	block1	100		10	20																																																																0
item -> added mod 4	1	1		100	16	361	730		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1	1		100	16	361	760		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		22	30																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1	1		100	16	361	963		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1	1		100	16	361	982		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	shld,sock,uni	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	295		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	340		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		8	14																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		35	40																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		35	40																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		35	40																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		35	40																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		73	73	corruptnum	100		1001	1001	block	100		5	10	block1	100		10	20																																																																0
item -> added mod 4	1	1		100	16	361	730		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 5	1	1		100	16	361	760		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		22	30																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	20																																																																0
item -> added mod 6	1	1		100	16	361	963		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	20																																																																0
item -> added mod 7	1	1		100	16	361	982		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	20																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	shld,sock,crf	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	20																																																																0
Generate Uniques (for testing)	0																																																																																																							0
rand weapon	0			100					1	imma,qty=1							weap,uni	99		100																																																																																				0
rand armor	0			100					1	key,qty=1							tors,uni	99		100																																																																																				0
rand helm	0			100					1	imra,qty=1							helm,uni	99		100																																																																																				0
rand boot	0			100					1	rera,qty=1							boot,uni	99		100																																																																																				0
rand belt	0			100					1	scou,qty=1							belt,uni	99		100																																																																																				0
rand shield	0			100					1	upma,qty=1							shld,uni	99		100																																																																																				0
rand gloves	0			100					1	vps							glov,uni	99		100																																																																																				0
rand ring	0			100					1	wss,qty=1							rin,uni	99		100																										rin,uni	99		100																										rin,uni	99		100																										0
phys charm	0			100					1	isc,qty=1							cm3,mag	95		100	dmg-max	100		6	9	att		30	60																	cm3,mag	95		100	dmg-max	100		6	9	att		30	60																	cm3,mag	95		100	dmg-max	100		6	9	att		30	60																	0
skills charm	0			100					1	key,qty=1							cm1,mag	95		100	allskills	100		1	1																					cm1,mag	95		100	allskills	100		1	1																					cm1,mag	95		100	allskills	100		1	1																					0
exp charm	0			100	18	361	0		2	cm2,mag	wss,qty=1						useitem	95		100	corrupt	100		1	1	corruptnum	100		1001	1001	addxp	100		10	10																																																																					0
frw charm	0			100	18	361	0		2	cm3,mag	wss,qty=1						useitem	95		100	corrupt	100		1	1	corruptnum	100		1001	1001	move2	100		107	107																																																																					0
eth weap	0			100					2	weap	tsc						useitem	95		100	ethereal	100		1	1																																																																															0
eth armor	0			100					2	armo	tsc						useitem	95		100	ethereal	100		1	1																																																																															0
rand gloves	0			100					1	key,qty=1							cm1	99		100	allskills	100		1	1																																																																															0
	0																																																																																																							0
CUSTOM TESTING RECIPES	0																																																																																																							0
REROLLING	0																																																																																																							0
reroll Iratha's Coil	1			100					2	Iratha's Coil	rera,qty=1						Iratha's Coil			100																										rera,qty=1																																																										0
reroll Milabrega's Diadem	1			100					2	Milabrega's Diadem	rera,qty=1						Milabrega's Diadem			100																										rera,qty=1																																																										0
reroll Arctic Mitts	1			100					2	Arctic Mitts	rera,qty=1						Arctic Mitts			100																										rera,qty=1																																																										0
reroll Iratha's Cuff	1			100					2	Iratha's Cuff	rera,qty=1						Iratha's Cuff			100																										rera,qty=1																																																										0
reroll Infernal Sign	1			100					2	Infernal Sign	rera,qty=1						Infernal Sign			100																										rera,qty=1																																																										0
reroll Iratha's Cord	1			100					2	Iratha's Cord	rera,qty=1						Iratha's Cord			100																										rera,qty=1																																																										0
reroll Infernal Cranium	1			100					2	Infernal Cranium	rera,qty=1						Infernal Cranium			100																										rera,qty=1																																																										0
reroll Sander's Paragon	1			100					2	McAuley's Paragon	rera,qty=1						McAuley's Paragon			100																										rera,qty=1																																																										0
reroll Hsarus' Iron Stay	1			100					2	Hsarus' Iron Stay	rera,qty=1						Hsarus' Iron Stay			100																										rera,qty=1																																																										0
reroll Hwanin's Blessing	1			100					2	Hwanin's Seal	rera,qty=1						Hwanin's Seal			100																										rera,qty=1																																																										0
reroll Sander's Riprap	0			100					2	McAuley's Riprap	rera,qty=1						McAuley's Riprap			100																										rera,qty=1																																																										0
reroll Cow King's Hooves	0			100					2	Cow King's Hoofs	rera,qty=1						Cow King's Hoofs			100																										rera,qty=1																																																										0
reroll Cathan's Seal	1			100					2	Cathan's Seal	rera,qty=1						Cathan's Seal			100																										rera,qty=1																																																										0
reroll Angelic Halo	1			100					2	Angelic Halo	rera,qty=1						Angelic Halo			100																										rera,qty=1																																																										0
reroll Bul-Kathos' Death Band	1			100					2	Bul-Kathos' Death Band	rera,qty=1						Bul-Kathos' Death Band			100																										rera,qty=1																																																										0
reroll Civerb's Icon	1			100					2	Civerb's Icon	rera,qty=1						Civerb's Icon			100																										rera,qty=1																																																										0
reroll Cathan's Sigil	1			100					2	Cathan's Sigil	rera,qty=1						Cathan's Sigil			100																										rera,qty=1																																																										0
reroll Angelic Wings	1			100					2	Angelic Wings	rera,qty=1						Angelic Wings			100																										rera,qty=1																																																										0
reroll Vidala's Snare	1			100					2	Vidala's Snare	rera,qty=1						Vidala's Snare			100																										rera,qty=1																																																										0
reroll Arcanna's Sign	1			100					2	Arcanna's Sign	rera,qty=1						Arcanna's Sign			100																										rera,qty=1																																																										0
reroll Iratha's Collar	1			100					2	Iratha's Collar	rera,qty=1						Iratha's Collar			100																										rera,qty=1																																																										0
reroll Tancred's Weird	1			100					2	Tancred's Weird	rera,qty=1						Tancred's Weird			100																										rera,qty=1																																																										0
reroll Telling of Beads	1			100					2	Telling of Beads	rera,qty=1						Telling of Beads			100																										rera,qty=1																																																										0
